name,status,update,version,update_version,auto_update
gotmls,active,none,4.23.73,,off
better-search-replace,inactive,none,1.4.10,,off
convertpro,active,none,1.8.0,,off
convertpro-addon,active,none,1.5.5,,off
cookie-notice,active,none,2.5.5,,off
enable-media-replace,active,none,4.1.5,,off
ihumbak-analytics,active,none,,,off
ihumbak-anchor,active,none,1.6,,off
ihumbak-newsletter-form,active,none,,,off
ihumbak-only-for-logged-users,inactive,none,,,off
ihumbak-redirect-post-to-category-post,active,none,1.1,,off
ihumbak-shortcodes,active,none,,,off
ihumbak-tax-calculator,active,none,0.4,,off
jwt-authentication-for-wp-rest-api,active,none,1.3.6,,off
lightbox-photoswipe,active,none,5.6.1,,off
litespeed-cache,active,none,6.5.4,,off
loco-translate,active,none,2.6.1,,off
wonderm00ns-simple-facebook-open-graph-tags,active,none,3.3.4,,off
quick-adsense,inactive,none,2.8.7,,off
redirection,active,none,5.2.3,,off
regenerate-thumbnails,active,none,3.1.6,,off
rest-api-comment,active,none,1.0.2,,off
search-exclude,active,none,2.4.3,,off
simple-local-avatars,active,none,2.2.0,,off
spreaker-shortcode,active,none,1.8.3,,off
widget-settings-importexport,active,none,1.5.3,,off
wordpress-importer,active,none,0.8.3,,off
wpdiscuz,active,available,7.6.27,7.6.28,off
wp-enable-webp,active,none,1.0,,off
yet-another-stars-rating,active,none,3.4.13,,off
wordpress-seo,active,none,18.3,,off
installatron_hide_status_test,must-use,none,,,off
object-cache.php,dropin,none,,,off
